223.0 432.3 219.0 439.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
227.0 425.90000000000003 223.0 432.3 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
231.0 419.8 227.0 425.90000000000003 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
235.0 414.0 231.0 419.8 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
239.0 408.5 235.0 414.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
243.0 403.3 239.0 408.5 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
247.0 398.40000000000003 243.0 403.3 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
251.0 393.8 247.0 398.40000000000003 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
255.0 389.5 251.0 393.8 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
259.0 385.5 255.0 389.5 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
263.0 381.8 259.0 385.5 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
267.0 378.40000000000003 263.0 381.8 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
271.0 375.3 267.0 378.40000000000003 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
275.0 372.5 271.0 375.3 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
279.0 370.0 275.0 372.5 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
283.0 367.8 279.0 370.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
287.0 365.90000000000003 283.0 367.8 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
291.0 364.3 287.0 365.90000000000003 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
295.0 363.0 291.0 364.3 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
299.0 362.0 295.0 363.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
303.0 361.3 299.0 362.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
307.0 360.90000000000003 303.0 361.3 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
311.0 360.8 307.0 360.90000000000003 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
315.0 361.0 311.0 360.8 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
319.0 361.5 315.0 361.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
323.0 362.3 319.0 361.5 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
327.0 363.40000000000003 323.0 362.3 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0] 0
